text,category,bias_label
"The new tax reform bill was passed today by Congress despite strong opposition from minority parties. Critics argue that it unfairly benefits wealthy corporations while burdening middle-class families. Supporters claim it will boost economic growth and create jobs.",politics,biased
"The championship game ended with a stunning upset as the underdog team defeated the favorites 3-2 in overtime. The winning goal was scored by rookie sensation Marcus Johnson in the final minutes of play.",sports,not_biased
"Apple announced its latest iPhone model today featuring improved camera technology and longer battery life. The device will be available in stores next month starting at $999. Pre-orders begin this Friday.",technology,not_biased
"Stock markets reached record highs today as investors responded positively to quarterly earnings reports. The S&P 500 gained 2.3% while the Dow Jones rose 450 points. Technology stocks led the rally.",business,not_biased
"A groundbreaking new study suggests that regular exercise may reduce the risk of Alzheimer's disease by up to 45%. Researchers followed 5000 participants over 10 years to reach these conclusions. The findings were published in the Journal of Neuroscience.",health,not_biased
"The highly anticipated Marvel movie shattered box office records this weekend earning over $300 million domestically. Critics praised the film's visual effects and compelling storyline. It currently holds a 95% rating on Rotten Tomatoes.",entertainment,not_biased
"The radical left-wing agenda continues to push dangerous socialist policies that will destroy our economy and way of life. Hard-working Americans are being punished while illegal immigrants receive handouts. We must fight back against this insanity.",politics,biased
"Scientists at MIT have developed a new battery technology that could triple the range of electric vehicles. The innovation uses solid-state lithium metal batteries instead of traditional liquid electrolytes. Commercial production is expected within three years.",technology,not_biased
"The devastating hurricane left thousands homeless and caused billions in damages across three states. Emergency responders worked around the clock to rescue stranded residents. Federal disaster relief has been approved for affected areas.",politics,not_biased
"Yoga and meditation practices have been shown to significantly reduce stress and anxiety levels according to multiple clinical studies. Participants reported improved mental clarity and emotional well-being after just eight weeks of regular practice.",health,not_biased
"The struggling retail chain announced massive layoffs affecting over 10000 employees nationwide. CEO compensation packages remain untouched while ordinary workers lose their livelihoods. This corporate greed is exactly what's wrong with capitalism today.",business,biased
"Tennis star Serena Williams announced her retirement from professional tennis after an illustrious 27-year career. She won 23 Grand Slam singles titles and inspired millions of athletes worldwide. Her final match will be at the US Open next month.",sports,not_biased
"Netflix released its quarterly subscriber numbers showing a decline for the first time in over a decade. The streaming giant lost 200000 subscribers amid increasing competition from Disney+ and HBO Max. Stock prices dropped 35% in after-hours trading.",entertainment,not_biased
"Researchers discovered a new species of deep-sea fish in the Mariana Trench at depths exceeding 8000 meters. The bioluminescent creature has adapted to survive in extreme pressure and darkness. The discovery was made during a recent oceanographic expedition.",technology,not_biased
"Local hospital announces plans to expand emergency room facilities to better serve the growing community. The $50 million project will add 100 beds and hire 200 medical staff. Construction is scheduled to begin next spring.",health,not_biased
"The biased mainstream media refuses to cover the real story about government corruption and continues to spread propaganda. They're clearly controlled by globalist elites who want to deceive the public. Wake up and see the truth!",politics,biased
"Global coffee prices surge as climate change affects crop yields in major producing countries. Brazil and Colombia report significant harvest reductions due to unusual weather patterns. Industry experts warn consumers may see higher retail prices.",business,not_biased
"The legendary quarterback announced his retirement after 20 seasons and 7 Super Bowl victories. Team management thanked him for his incredible contributions and leadership. A farewell ceremony is planned for next month at the stadium.",sports,not_biased
"Streaming platform Spotify introduces AI-powered playlist recommendations based on mood and activity. The new feature analyzes listening habits and environmental context to suggest personalized music. Beta testing begins next week for premium subscribers.",technology,not_biased
